"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Euros/m2 construït",4591.9
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Euros/m2 construït",3860.1
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Euros/m2 construït",4176.3
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Euros/m2 construït",3139.1
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Euros/m2 construït",2737.3
2015,6,"Gràcia",29,"el Coll","Total. Euros/m2 construït",2230.4
2015,6,"Gràcia",30,"la Salut","Total. Euros/m2 construït",2855.7
2015,6,"Gràcia",31,"la Vila de Gràcia","Total. Euros/m2 construït",3315.1
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Euros/m2 construït",3044.9
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Euros/m2 construït",3052.2
2015,7,"Horta-Guinardó",34,"Can Baró","Total. Euros/m2 construït",2101.1
2015,7,"Horta-Guinardó",35,"el Guinardó","Total. Euros/m2 construït",2198.5
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Euros/m2 construït",2684
2015,7,"Horta-Guinardó",37,"el Carmel","Total. Euros/m2 construït",1688.2
2015,7,"Horta-Guinardó",38,"la Teixonera","Total. Euros/m2 construït",1723.3
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total. Euros/m2 construït",2008.3
2015,7,"Horta-Guinardó",40,"Montbau","Total. Euros/m2 construït",1695.3
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total. Euros/m2 construït",2917.9
2015,7,"Horta-Guinardó",42,"la Clota","Total. Euros/m2 construït",1711.3
2015,7,"Horta-Guinardó",43,"Horta","Total. Euros/m2 construït",2110.8
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total. Euros/m2 construït",2055.7
2015,8,"Nou Barris",45,"Porta","Total. Euros/m2 construït",1938
2015,8,"Nou Barris",46,"el Turó de la Peira","Total. Euros/m2 construït",1408.6
2015,8,"Nou Barris",47,"Can Peguera","Total. Euros/m2 construït",1385.5
2015,8,"Nou Barris",48,"la Guineueta","Total. Euros/m2 construït",1931.7
2015,8,"Nou Barris",49,"Canyelles","Total. Euros/m2 construït",1732.3
2015,8,"Nou Barris",50,"les Roquetes","Total. Euros/m2 construït",1184.1
2015,8,"Nou Barris",51,"Verdun","Total. Euros/m2 construït",1422.9
2015,8,"Nou Barris",52,"la Prosperitat","Total. Euros/m2 construït",1788.8
2015,8,"Nou Barris",53,"la Trinitat Nova","Total. Euros/m2 construït",1206.9
2015,8,"Nou Barris",54,"Torre Baró","Total. Euros/m2 construït",NA
2015,8,"Nou Barris",55,"Ciutat Meridiana","Total. Euros/m2 construït",1040.8
2015,8,"Nou Barris",56,"Vallbona","Total. Euros/m2 construït",1662.6
2015,9,"Sant Andreu",57,"la Trinitat Vella","Total. Euros/m2 construït",1838.2
2015,9,"Sant Andreu",58,"Baró de Viver","Total. Euros/m2 construït",2758.5
2015,9,"Sant Andreu",59,"el Bon Pastor","Total. Euros/m2 construït",1498.7
2015,9,"Sant Andreu",60,"Sant Andreu","Total. Euros/m2 construït",2216.6
2015,9,"Sant Andreu",61,"la Sagrera","Total. Euros/m2 construït",2460.9
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Total. Euros/m2 construït",2157.8
2015,9,"Sant Andreu",63,"Navas","Total. Euros/m2 construït",2728.8
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Total. Euros/m2 construït",2818.1
2015,10,"Sant Martí",65,"el Clot","Total. Euros/m2 construït",2989.1
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Total. Euros/m2 construït",3001.6
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Total. Euros/m2 construït",3925.6
2015,10,"Sant Martí",68,"el Poblenou","Total. Euros/m2 construït",3072.6
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Total. Euros/m2 construït",5961.1
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Total. Euros/m2 construït",2292.4
2015,10,"Sant Martí",71,"Provençals del Poblenou","Total. Euros/m2 construït",4387.7
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Total. Euros/m2 construït",3001.8
2015,10,"Sant Martí",73,"la Verneda i la Pau","Total. Euros/m2 construït",2221.8
2015,1,"Ciutat Vella",1,"el Raval","Nou. Euros/m2 construït",NA
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Nou. Euros/m2 construït",2331.6
2015,1,"Ciutat Vella",3,"la Barceloneta","Nou. Euros/m2 construït",3587
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nou. Euros/m2 construït",5059
2015,2,"Eixample",5,"el Fort Pienc","Nou. Euros/m2 construït",5621.3
2015,2,"Eixample",6,"la Sagrada Família","Nou. Euros/m2 construït",NA
2015,2,"Eixample",7,"la Dreta de l'Eixample","Nou. Euros/m2 construït",2143.1
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nou. Euros/m2 construït",4729.4
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Nou. Euros/m2 construït",6084.2
